Trimming,res_volt_1,res_volt_2,volt_average
000000000000,0.0001102511,5.80563e-05,8.41537e-05
000000001000,1.81000232,1.80981712,1.8099097199999998
000000000100,0.000155128,-0.000124031,1.5548500000000002e-05
000000001100,1.80990972,1.81000232,1.80995602
000000000010,-7.3917e-05,-4.49999e-05,-5.945845e-05
000000001010,1.80999632,1.80999632,1.80999632
000000000110,0.0001375361,-5.26938e-05,4.242115e-05
000000001110,1.8102981,1.8101129,1.8102055
